VIN,TRANSACTION_ID,CORRECTION_VERBATIM,CUSTOMER_VERBATIM,REPAIR_DATE,CAUSAL_PART_NM,GLOBAL_LABOR_CODE_DESCRIPTION,PLATFORM,BODY_STYLE,VPPC,PLANT,BUILD_COUNTRY,LAST_KNOWN_DLR_NAME,LAST_KNOWN_DLR_CITY,REPAIRING_DEALER_CODE,DEALER_NAME,REPAIR_DLR_CITY,STATE,DEALER_REGION,REPAIR_DLR_POSTAL_CD,REPAIR_AGE,KM,COMPLAINT_CD_CSI,COMPLAINT_CD,VEH_TEST_GRP,COUNTRY_SALE_ISO,ORD_SELLING_SRC_CD,OPTN_FAMLY_CERTIFICATION,OPTF_FAMLY_EMISSIOF_SYSTEM,GLOBAL_LABOR_CODE,TRANSACTION_CATEGORY,REPORTING_COST,TOTALCOST,LBRCOST,ENGINE,ENGINE_DESC,TRANSMISSION,TRANSMISSION_DESC,ENGINE_SOURCE_PLANT,ENGINE_TRACE_NBR,TRANSMISSION_SOURCE_PLANT,TRANSMISSION_TRACE_NBR,SRC_TXN_ID,SRC_VER_NBR,TRANSACTION_CNTR,MEDIA_FLAG,VIN_MODL_DESGTR,LINE_SERIES,LAST_KNOWN_DELVRY_TYPE_CD,NON_CAUSAL_PART_QTY,SALES_REGION_CODE,CORRECTION_VERBATIM_CLEANED,REPAIR_ACTION_TAGS,COMPONENT_TAGS
1HCFDHE86SZ274242,13023,"GAINED ACCESS AND REMOVED OLD STEERING WHEEL AFTER DISCONNECTING BATTERY NEGATIVE. INSTALLED NEW STEERING WHEEL, APPLIED LOCTITE TOBOLT THAT RETAINS STEERING WHEEL. TIGHTED BOLT. RE INSTALLED AIR BAG, RE INSTALLED TRIM. RE CONNECTED BATTERY, CHECKED FOR ANYPROTRUDING FROM STEERING WHEEL MOLDING, ALL OK NOW GM AUTHORIZATION# 490759800000",C/S: REMOVED STEERING WHEEL TO GAIN ACCESS TO BACK SIDE OF STEERING WHEEL WHERE TRIM IS THAT IS PROTRUDING AND REPLACED TRIM ANDSTILL IS PRETRUDING. ISSUE IS IN STEERING WHEEL ASSEMBLY REFERENCE RO# 82289 -- GM AUTHORIZATION# 490759800000,1/9/2024,WHEEL ASM-STRG *JET BLACK,STEERING WHEEL REPLACEMENT,FULL-SIZE TRUCKS,CREW CAB,T1CCF,FTW,US,BLUESKY AUTOS,PALMYRA,13-15377/118088,PLATINUM WHEELS,PALMYRA,PA,1,UNKNOWN,8,6204,0,0-0890,T03.0354,US,13,NE1,FUB,130,FREG,476.16,476.16,63.99,LZ0,"DIESEL, 6 CYL, 3.0L, CRI, L6, DOHC, TURBO, VGT, ALUM, CSS50V, VAR. 2",MQC,"BYT 10 SPD, 10L80, ATSS, ETRS, CPA, GEN 2",UNKNOWN,V2212221MFTX0298,UNKNOWN,R2212281CNJX0022,2809222210,6,1,N,CF10543,UNKNOWN,10,0,1,gained access and removed old steering wheel after disconnecting battery negative installed new steering wheel applied loctite tobolt that retains steering wheel tighted bolt re installed air bag re installed trim re connected battery checked for anyprotruding from steering wheel molding all ok now gm authorization,inspect,steering_wheel
1HYKNDRS3MZ177921,13027,TECH REPLACED STEERING WHEEL TO CORRECT PRA 487188600000,C/S: CUSTOMER STATES THERE IS A PIECE OF THE STEERING WHEEL STICKING UP. SOP PART IS IN,1/10/2024,WHEEL ASM-STRG *DARK TITANIU,STEERING WHEEL REPLACEMENT,GLOBAL CROSSOVER VEHICLES,4 DOOR UTILITY,C1UL,SHT,US,QUANTUM AUTO SALES,DAYTON,12-20769/119037,REDLINE AUTO CO.,CINCINNATI,OH,1,UNKNOWN,35,70354,0,0-0310,T03.6151,US,12,FE9,FTB,130,FREG,322.13,322.13,53.46,LGX,"GAS, 6 CYL, 3.6L, V6, DI, DOHC, VVT, ALUM, GEN 2",M3W,"TRANSMISSION BYT 9 SPD, 9T65, ETRS GEN 1",UNKNOWN,W2220292JDPX0477,UNKNOWN,21220220KKBP0881,2809492824,4,1,Y,6NH26,PREMIUM LUXURY,37,0,1,tech replaced steering wheel to correct pra,replace,steering_wheel
1HYKSMRK4SZ001121,13025,REPLACED STEERING WHEEL ASMY,(INSTALL SPECIAL ORDER PART) CUSTOMER STATES THE RIGHT SIDE STEERING WHEEL SUPER CRUISE PLASTIC COVER IS LIFTING UP AND NOT SECURE.PRA 491752600000,1/10/2024,WHEEL ASM-STRG *BACKEN BLACKK,STEERING WHEEL REPLACEMENT,BEV,4 DOOR UTILITY,L233-LSOP,SHT,US,VELOCITY AUTO GROUP,LAS VEGAS,13-20095/114568,LUXECAR DEALERSHIP,ONTARIO,CA,1,UNKNOWN,6,12628,0,0-0312,T00.0006,US,12,YF5,FF6,130,FREG,1414.83,1414.83,95.5,EN0,EN0,MF1,MF1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2809291177,6,1,N,6MB26,LUX-1,10,0,1,replaced steering wheel asmy,replace,steering_wheel
1H6DS5RK6S0127345,13025,REPLACED HEATED STEERING WHEEL,CUSTOMER STATES HEATED STEERING WHEEL ISNT WORKING,1/10/2024,WHEEL ASM-STRG *BLACK,STEERING WHEEL REPLACEMENT,LUXURY CAR-3,4 DOOR SEDAN,A2LL,LGR,US,REDWOOD MOTOR CO.,JONESBORO,13-17211/111427,CITYSTAR MOTORS,POPLAR BLUFF,MO,1,UNKNOWN,12,19743,0,0-0310,V02.0041,US,12,FE9,FTB,130,FREG,562.5,562.5,85.86,LSY,"GAS, 4 CYL, L4, 2.0L, SIDI, DOHC, VVT, ALUM, TURB O, VAR 3",MQ2,"BYT 10 SPD, 10L60, GEN 1, ATSS, ETRS, VAR 1",UNKNOWN,N1221292JU7X2198,UNKNOWN,S1221112QRJX2178,2809244294,20,1,Y,6DC79,LUXURY,10,0,1,replaced heated steering wheel,replace,steering_wheel
1HC4YSEY3RF110164,13023,CHECKED AND VERIFIED CUSTOMER CONCERN AND FOUND TRIM PIECE LOOSE REMOV ED REPLACED TRIM PIECE ON THE BACK OF THE PASSENGER SIDE OFSTEERING W HEEL COMPLETE,CUSTOMER STATES STEERING WHEEL CONROL PASSENGER SIDE REAR ON THE STEER ING WHEEL IS LOOSE SOP PART,1/10/2024,COVER-STRG WHL AIRBAG ACC HOLE *JET BLACK,STEERING WHEEL SPOKE COVER REPLACEMENT,FULL-SIZE TRUCKS,CREW CAB,T1CCH,FLT,US,TITAN CARS,CORTLAND,13-28690/113578,VELOCITY VEHICLE SALES,CORTLAND,OH,1,UNKNOWN,9,17675,0,0-0316,D06.6385,US,13,NE1,FUM,50,FREG,63.1,63.1,61.27,L5P,"DIESEL, 8 CYL, 6.6L, DI, V8, TURBO, DURAMAX, GEN 5 VAR. 1",MGM,"BYT 10 SPD, 10R1000, GRX, GEN 1, VAR 1",UNKNOWN,R2210714JFHX0992,UNKNOWN,Y0210111MKFX0928,2809282189,2,1,N,CF20743,UNKNOWN,16,0,1,checked and verified customer concern and found trim piece loose remov ed replaced trim piece on the back of the passenger side ofsteering w heel complete,"replace, inspect",steering_wheel
1HKS1JKL0SR282668,13024,"VERIFIED CUSTOMER CONCERN ABOUT A HORN INOP. I FOLLOWED DOCUMENT 4374183 TO DIAGNOSE THIS CONCERN. I MONITORED SCAN TOOL DATA FORTHE HORN ACTIVATION WHILE PRESSING THE HORN AND IT WAS CHANGING INTERMITTENTLY. I THEN TESTED CIRCUITS 3287 AT THE STEERING WHEELFOR A SHORT AND ALL WAS OK, I THEN TESTED CIRCUIT 6051 AND GROUND CIRCUIT HAD NO HIGH RESISTANCE. I THEN TESTED TERMINAL TENSION ONTHE STEERING WHEEL HARNESS AND FOUND LOOSE TENSION ON THE HORN CONNECTION AND REQUIRED A HARNESS REPLACEMENT I THEN REPLACED THESTEERING WHEEL HARNESS. AFTER REPAIRS, THE VEHICLE IS NOW HONKING AS DESIGNED",CUSTOMER STATES CK HORN ON THE STEERING WHEEL ONLY WORKS IN THE MIDDLE ON THE SIDE IT DOES NO WORK,1/11/2024,HARNESS ASM-STRG WHL HORN SW WRG,STEERING WHEEL HORN SWITCH WIRING HARNESS REPLACEMENT,FULL-SIZE UTILITY,4 DOOR UTILITY,T1YGF,ARL,US,URBANCAR DEALERSHIP,RIO GRANDE CITY,13-30014/114870,CRESTWOOD AUTO,RIO GRANDE CITY,TX,1,UNKNOWN,10,21295,0,0-0310,T06.2375,US,48,FE9,FTB,20,FREG,275.55,275.55,202.67,L87,"GAS, 8 CYL, V8, 6.2L, DI, DFM, ALUM, GEN 5",MHS,"BYT 10 SPD, 10L80, GRX, GEN 1, ATSS, ETRS, VAR 1",UNKNOWN,K2210291MFYX0999,UNKNOWN,S2210212CCJX0718,2809298492,2,1,N,TC10906,UNKNOWN,10,0,1,verified customer concern about a horn inop i followed document to diagnose this concern i monitored scan tool data forthe horn activation while pressing the horn and it was changing intermittently i then tested circuits at the steering wheelfor a short and all was ok i then tested circuit and ground circuit had no high resistance i then tested terminal tension onthe steering wheel harness and found loose tension on the horn connection and required a harness replacement i then replaced thesteering wheel harness after repairs the vehicle is now honking as designed,replace,steering_wheel
1HC4Y9EY2MF192148,13026,STEERING WHEEL REPLACEMENT,  ,1/11/2024,WHEEL ASM-STRG *JET BLACK,STEERING WHEEL REPLACEMENT,FULL-SIZE TRUCKS,CREW CAB,T1CCH,FLT,US,REGAL RIDE MOTORS,LOD,72-73421/159921,GOLDENROAD MOTORS,KIRYAT GAT,CA,4,UNKNOWN,33,107905,0,0-0890,D06.6385,IL,72,FE9,FTB,130,FREG_POL,221.83,221.83,28,L5P,"DIESEL, 8 CYL, 6.6L, DI, V8, TURBO, DURAMAX, GEN 5 VAR. 1",MGM,"BYT 10 SPD, 10R1000, GRX, GEN 1, VAR 1",UNKNOWN,R2220282JRHX0409,UNKNOWN,Y0220280MKFX0292,2809489112,2,1,N,CF20743,UNKNOWN,18,0,4,steering wheel replacement,replace,steering_wheel
1H1FZ6S00N4109597,13025,"REPLACE STEERING WHEEL CHECK OK 1699-,0130","HEATED STEERING WHEEL INOP. WHEN YOU HIT THE BUTTON ON IT TURNS OFF IMMEDIATELY. WHEN REMOTE STARTING IT, IT WILL TURN LIGHT ON BUTNEVER HEAT UP. - RO 6124563 - RO 6126117 - DAVE - PRA #495554400000",1/11/2024,WHEEL ASM-STRG *JET BLACK,STEERING WHEEL REPLACEMENT,GLOBAL GAMMA,4 DOOR SEDAN,C121,ORI,US,CAPITAL CAR DEALERS,DAVISON,13-44014/115093,TRUEDRIVE AUTO,CLARKSTON,MI,1,UNKNOWN,17,42079,0,0-0890,V00.0002,US,13,FE9,FT7,130,FREG,411.47,457.47,62.02,EN0,EN0,MMF,"BYT, ELECTRIC, GM, GEM, GEN 2, DRIVE UNIT, X68F",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2809122794,4,1,N,1FG48,PREMIER,21,0,1,replace steering wheel check ok,"replace, inspect",steering_wheel
1HNEVKKW6SJ216435,13025,INSTALLED SPECIAL ORDERED STEERING WHEEL DUE TO THREADS FRAYING ON WHE EL 0130 .4 629,STEERING WHEEL FRAYING PARTS ARE IN,1/11/2024,WHEEL ASM-STRG * JET BLACK,STEERING WHEEL REPLACEMENT,CROSSOVER SUV,4 DOOR UTILITY,C1YC,DEL,US,PRESTIGE WHEELS,SAGINAW,13-44196/300736,TITAN MOTORS GROUP,SAGINAW,MI,1,UNKNOWN,10,17774,0,0-0890,T03.6151,US,13,FE9,FTB,130,FREG,395.44,395.44,50.27,LFY,"GAS, 6 CYL, V6, 3.6L, SIDI, DOHC, ATSS, GEN 1+",M3V,"BYT 9 SPD, 9T65, GEN 1",K,UNKNOWN,UNKNOWN,21210129IKBP0429,2809298112,4,1,N,1NX56,PREMIER,21,0,1,installed special ordered steering wheel due to threads fraying on whe el,None,steering_wheel
1HR49WEY2NF322460,13024,"RECONNECTED HORN CHECKED OPERATION, OK.",ADDED OPERATION HORN DOESNT WORK HASNT WORKED SINCE BRAND NEW TECH CAUSE HORN CONNECTOR NOT FULLY SEATED ON HARN ASSEMBLY ANDDISCONNECTED TECH COMMENTS RECONNECTED HORN CHECKED OPERATION OK,1/11/2024,WHEEL ASM-STRG *JET BLACK,STEERING WHEEL HORN SWITCH WIRING HARNESS REPLACEMENT,FULL-SIZE TRUCKS,CREW CAB,T1CGH,FLT,US,GOLDSTAR AUTOS,EDMONTON,14-82489/320243,BLUESKY AUTO SALES,EDMONTON,AB,1,T5E4C7,20,34161,0,0-0621,D06.6385,CA,14,FE9,FTB,20,FREG,30.09,31.6,31.6,L5P,"DIESEL, 8 CYL, 6.6L, DI, V8, TURBO, DURAMAX, GEN 5 VAR. 1",MGM,"BYT 10 SPD, 10R1000, GRX, GEN 1, VAR 1",UNKNOWN,R2222412MU9X0781,UNKNOWN,Y0222190MKFX0498,2809222282,2,1,N,TF30743,UNKNOWN,18,0,1,reconnected horn checked operation ok,inspect,None
